REST Server,server/gdial-rest.c,164,Medium,Format String Vulnerability,PRINTF_ARGS: Format string issue in gdial_rest_server_registered_apps_clear. The app_registry->name is used in format string without validation,"GDIAL_LOGINFO(""gdial_local_rest_http_server_callback handler Removed for App[%s]instance[%x]"", app_registry->name,(uintptr_t)priv->local_soup_instance);",Validate app_registry->name before using in format strings or use %p for pointers consistently,Manual Analysis
REST Server,server/gdial-rest.c,293,High,Memory Leak,"Potential memory leak: additional_data_url allocated with soup_uri_encode() using malloc, but freed with g_free()","gchar *additional_data_url_safe = soup_uri_encode(additional_data_url, NULL);","Use free() instead of g_free() for soup_uri_encode results, or consistently use GLib memory functions",Manual Analysis
REST Server,server/gdial-rest.c,301,Critical,Memory Management Error,query_str_safe allocated with soup_uri_encode (malloc) but later freed with g_free. Memory allocator mismatch can cause undefined behavior,"char *tmp = soup_uri_encode(query_str, NULL); query_str_safe = g_strdup(tmp); free(tmp);",Consistent memory management - use g_free for glib allocations and free for malloc,Manual Analysis
REST Server,server/gdial-rest.c,325,High,Resource Leak,"If gdial_app_start fails after signal connection, the signal handler may not be disconnected leading to dangling references","g_signal_connect_object(app, ""state-changed"", G_CALLBACK(gdial_rest_app_state_changed_cb), gdial_rest_server, 0);",Disconnect signal handlers on error paths before unreferencing app object,Manual Analysis
REST Server,server/gdial-rest.c,357,Medium,Use After Free,g_object_unref(app) is called on error but app pointer may still be used in error paths,"g_object_unref(app); gdial_rest_server_http_return_if(start_error == GDIAL_APP_ERROR_FORBIDDEN, msg, SOUP_STATUS_FORBIDDEN);",Set app = NULL after unref to prevent accidental use,Manual Analysis
REST Server,server/gdial-rest.c,408,Medium,Resource Leak,"In gdial_rest_server_handle_GET_app, app object may not be unreferenced in all paths when app_state == GDIAL_APP_STATE_STOPPED",if (app_state == GDIAL_APP_STATE_STOPPED) { g_object_unref(app); },Ensure all code paths properly release app object reference,Manual Analysis
REST Server,server/gdial-rest.c,448,Low,Dead Code,Typo in g_hash_table_destory should be g_hash_table_destroy - this code is unreachable,g_hash_table_destory(dupQuery);,Fix typo to g_hash_table_destroy,Manual Analysis
REST Server,server/gdial-rest.c,504,High,Null Pointer Dereference,"DEADCODE: In gdial_rest_server_handle_POST_dial_data, body_query may be NULL but is used without check in GDIAL_MERGE_URL_AND_BODY_QUERY path","body_query = query ? gdial_util_str_str_hashtable_merge(body_query, dupQuery) : body_query;",Add NULL check for body_query before using,Manual Analysis
REST Server,server/gdial-rest.c,538,Medium,Integer Overflow,DEADCODE: path_len comparison without considering integer overflow in boundary checks,"gdial_rest_server_http_return_if_fail(path_len < GDIAL_REST_HTTP_MAX_URI_LEN, msg, SOUP_STATUS_INTERNAL_SERVER_ERROR);",Use SIZE_MAX aware checks for path length validation,Manual Analysis
REST Server,server/gdial-rest.c,602,Critical,Buffer Overflow,"g_strlcpy return value checked but action taken after potential truncation. If ret >= sizeof(base), buffer overflow already occurred","ret = g_strlcpy(base, elements[i], sizeof(base)); if (ret >= sizeof(base)) { GDIAL_LOGERROR(""Warn: base too long""); }","Return error immediately when g_strlcpy indicates truncation, before buffer is used",Manual Analysis
